job_id,job_title,company_name,location,industry,experience_level,years_of_exp,education,employment_type,remote_work,salary_usd,salary_band,skills,company_rating,applications,hiring_status,job_posted_date,post_month,post_year,benefits
JOB5357,Unknown,Airbnb,Unknown,Finance,Manager,10,Bachelor's,Part-Time,Remote,472338,$180K+,"Sql, Dl, React, Nlp, Sql Server",5.0,891,Open,2025-01-01,2025-01,2025,Health+Dental
Unknown,Software Engineer,Apple,"Berlin, Germany",Automotive,Manager,17,Bachelor's,Full-Time,On-Site,237135,$180K+,"Git, Nlp, Docker, Data Viz, Azure",4.5,500,Unknown,2025-12-05,2025-12,2025,Health+Dental
Unknown,Software Engineer,Unknown,"London, UK",Telecommunications,Mid Level,11,Master's,Unknown,On-Site,460882,$180K+,"Data Viz, Gcp, Excel, Docker",3.7,100,Closed,2025-07-21,2025-07,2025,Health+Dental
JOB8810,Unknown,Unknown,Remote,Technology,Senior,12,Bachelor's,Internship,Remote,109203,$80K–$120K,"Cv, Azure, Powerbi, Statistical Analysis",4.5,500,On Hold,2025-03-07,2025-03,2025,Unknown
JOB8805,Cybersecurity Analyst,TCS,Unknown,Technology,Lead/Principal,12,High School,Full-Time,Hybrid,99606,$80K–$120K,"Git, Tensorflow, Deep Learning, Google Cloud, Scrum, Excel, R, Communication",4.5,1248,Open,2025-09-19,2025-09,2025,Unknown
JOB9411,Full Stack Developer,Airbnb,"London, UK",Telecommunications,Lead/Principal,12,High School,Contract,Hybrid,424727,$180K+,"Git, Tensorflow, Data Viz, Apache Spark, Azure",3.7,500,Open,2024-04-21,2024-04,2024,Unknown
JOB1462,Machine Learning Engineer,Airbnb,"Hyderabad, India",Media/Entertainment,Senior,2,High School,Contract,On-Site,105823,$80K–$120K,"Java, Powerbi, Sql",3.7,500,Closed,2025-08-06,2025-08,2025,"401k, Health"
Unknown,ML Engineer,Microsoft,"Boston, MA",Technology,Director,18,PhD,Part-Time,On-Site,139214,$120K–$180K,"Communication, Data Visualization, Excel, Scrum",3.8,84,Open,2025-04-01,2025-04,2025,"PTO, Remote"
Unknown,Product Manager,Netflix,"Hyderabad, India",Finance,Mid Level,22,PhD,Full-Time,Remote,165322,$120K–$180K,"Cv, Data Pipeline, Node, Reactjs, Pytorch, Pyspark, Git",3.7,500,On Hold,2025-07-15,2025-07,2025,"Health, Dental, Vision"
JOB1553,Cloud Architect,Uber,"Chicago, IL",E-Commerce/Retail,Lead/Principal,12,Bachelor's,Freelance,On-Site,492618,$180K+,"Nodejs, Docker, Google Cloud, Deep Learning, Js",3.9,271,Unknown,2025-11-10,2025-11,2025,"401k, Health"
Unknown,Product Manager,Accenture,"Seattle, WA",Technology,Unknown,12,Bachelor's,Internship,Unknown,336631,$180K+,"Git, Tensorflow, Dl, Python",3.0,1075,Closed,2025-06-18,2025-06,2025,"Health, 401k, Stock"
