job_id,job_title,company_name,location,salary,currency,experience_level,years_of_exp,education,employment_type,industry,skills,remote_work,job_posted_date,company_rating,applications,job_description,benefits,hiring_status
JOB5357,,Airbnb,,472338 USD,,Manager,10,Bachelors,PT,banking,SQL / DL / React / NLP / SQL Server,Remote,,5.0,891,shvzFMSwSVnmBknLtrRPSLJdZlHlhTqvCNSlevAjwVyQBWvLLufWLYMjGhOPYMzz iJThiSSSUyJwgROEryoouG,Health+Dental,Active
,SWE,Apple,BERLIN,"$237,135",GBP,Mgr,17,BS,fulltime,Automotive,"Git, nlp, docker, data viz, AZURE",no,12/05/2025,4.5/5,-29,nxvHlejuLOevLChaZGjKvBgcMAGUXBmcQCryEtxlUpvJOlgunpzMA,Health+Dental,
,software engineer,,london,"$460,882",INR,Mid-Level,-2,MS,,telecom,"['data viz', 'GCP', 'excel', 'Docker']",False,7/21/2025,0,100+,KdEXzZXAyymwOyqsrUlVAGQKkOMfcukqkRCMhKjY,Health+Dental,Closed
JOB8810,,,Remote,109203,INR,Sr.,95,Bachelors,Intern,Auto Tech,CV;AZURE;powerbi;Statistical Analysis,True,07-03-2025,4.5/5,,,,on hold
JOB8805,Security Analyst,Tata Consultancy Services,,99606,USD,Lead,75,High School,Full Time,Retail Tech,GIT | Tensorflow | deep learning | Google Cloud | Scrum | Excel | r | communication,Hybrid,19.9.2025,4.5/5,1248,jRzcgnPRlgAkRwinOSptzKN BjHtMsvex tDiltUKrzb xaJOCUjXQshTBAtVsVIpXvJTAvJryhBfaZ YMcCXzvqXs,,Active
JOB9411,full stack developer,airbnb,london,424727,,Principal,93,High School,Contract,telecom,git / Tensorflow / data viz / Apache Spark / azure,hybrid,21.4.2024,N/A,,SHaObaAPLBmtSBeMqBz kRVnuXnLdZzxymIROedAWHwcuiLeGVoXvbYUQVabdbabCiXKjYgFPSDUNGEQihvHvLsqb,N/A,active
JOB1462,Machine Learning Engineer,Airbnb,Hyderabad,-4264,$,senior,2,HS,contract,Entertainment,java;PowerBI;SQL,False,2025-08-06,,many,smnFYJLaWdBXAXSybzkGMlkQkgpimLrPpKjaKmBfCiJDYN,"401k, Health",filled
,ML engineer,Microsoft,boston,0,,Director,18,PhD,Part Time,edtech,Communication | Data Visualization | Excel | Scrum,no,2025-04-01,3.8,84,,"PTO, Remote",open
,PM,netflix,HYDERABAD,"$165,322",usd,Mid-Level,22,PHD,fulltime,Banking,CV | data pipeline | Node | ReactJS | pytorch | PySpark | GIT,yes,07/15/2025,0,-26,RXPCmAmuqUanVtXbZjlajy nNTVfxEGviphMXqGtvPxHfRxVYcQgWLMUAnNWygaKfsOYhfBGxIWKWunHVqneRDC,"Health, Dental, Vision",On Hold
JOB1553,Cloud Architect,UBER,CHICAGO,"$492,618",USD,Principal,-4,BACHELOR,Gig,Telecommunications,"['nodejs', 'Docker', 'Google Cloud', 'Deep Learning', 'JS']",False,11/10/2025,3.9,271,zOAwwtXSwiSmvQJsSQvYnvdEoFIlBlFOKNSLSFeFLwFGqqTFQkRPxlglFVffMFXCIJWrpXmaLjx,"401k, Health",
,product manager,accenture,"seattle, wa",336631,,,95,BS,INTERNSHIP,fintech,GIT / tensorflow / DL / PYTHON,,2025-06-18,3,1075,,"Health, 401k, Stock",CLOSED
JOB1358,cybersecurity analyst,wipro,berlin,,$,DIRECTOR,97,Associate's,internship,Telecommunications,Unix / JAVA / Linux / docker / deep learning / data pipeline / React / Kubernetes,NO,3/27/2025,excellent,,RFkSmLaekVBvwbrveBigCw BmpAuhvGwIeAVcG,N/A,Open
JOB4851,Cloud Architect,Accenture,"Austin, TX",332654,INR,Entry,11,BS,internship,Automotive,,0,3/7/2025,3.8,500+,egfFYDJczEUkFRjQGHGXRRbaOViDIJAggmOWI B,"401k, Health",On Hold
,,,,,,,,,,,,,,,,,,
